kata,sentimen
bagus,positif
cantik,positif
murah,positif
glowing,positif
lembut,positif
halus,positif
mantap,positif
recommended,positif
awet,positif
tahan lama,positif
cocok,positif
ringan,positif
wangi,positif
enak,positif
nyaman,positif
praktis,positif
cerah,positif
berkilau,positif
puas,positif
segar,positif
alami,positif
mulus,positif
worth it,positif
terjangkau,positif
menarik,positif
memuaskan,positif
mewah,positif
tebal,positif
suka,positif
wow,positif
gemes,positif
flawless,positif
elegan,positif
pigmented,positif
mudah diaplikasikan,positif
blendable,positif
buildable,positif
creamy,positif
tidak pecah,positif
hypoallergenic,positif
set cepat,positif
waterproof,positif
smudge-proof,positif
tidak crack,positif
breathable,positif
glowing alami,positif
tidak menyumbat pori,positif
aman digunakan,positif
tidak bikin jerawat,positif
finishing natural,positif
subtile,positif
tidak over,positif
fresh,positif
tidak lengket,positif
smooth,positif
ringan di wajah,positif
soft,positif
tahan air,positif
travel-friendly,positif
hemat,positif
buttery,positif
kualitas tinggi,positif
inovatif,positif
menyerap cepat,positif
cocok untuk kulit sensitif,positif
multifungsi,positif
pigmen bagus,positif
warna cantik,positif
tampilan elegan,positif
glowing sehat,positif
hasil sempurna,positif
kemasan cantik,positif
hasil profesional,positif
halus di kulit,positif
tidak membuat kulit berminyak,positif
mudah dibersihkan,positif
tampak natural,positif
kilap minimal,positif
efek matte,positif
natural finish,positif
hasil memuaskan,positif
ramah di kulit,positif
eksklusif,positif
aman di kulit sensitif,positif
menenangkan,positif
tekstur halus,positif
mudah diratakan,positif
warna sesuai,positif
harga sesuai kualitas,positif
nyaman dipakai sehari-hari,positif
efek glowing,positif
tidak berat di wajah,positif
kemasan elegan,positif
jelek,negatif
luntur,negatif
retak,negatif
pecah,negatif
mengecewakan,negatif
tidak cocok,negatif
berat,negatif
lengket,negatif
bau,negatif
kusam,negatif
pudar,negatif
tidak tahan lama,negatif
greasy,negatif
berminyak,negatif
berantakan,negatif
kotor,negatif
tidak puas,negatif
mahal,negatif
tipis,negatif
tidak worth it,negatif
hancur,negatif
lembek,negatif
kering,negatif
gatal,negatif
pecah-pecah,negatif
crack,negatif
buruk,negatif
ribet,negatif
menyebalkan,negatif
patchy,negatif
sulit di-blend,negatif
powdery,negatif
cakey,negatif
oxidize,negatif
sulit diratakan,negatif
transfer,negatif
belepotan,negatif
menggumpal,negatif
bikin breakout,negatif
membuat jerawat,negatif
menyumbat pori,negatif
kurang tahan lama,negatif
warnanya pudar,negatif
susah nge-set,negatif
tekstur kasar,negatif
kemasan lemah,negatif
overhyped,negatif
tidak sesuai deskripsi,negatif
overpriced,negatif
susah dibuka,negatif
bikin gatal,negatif
tidak blendable,negatif
efek oksidasi,negatif
bikin berminyak,negatif
sulit digunakan,negatif
warna kurang cocok,negatif
hasil tidak natural,negatif
kurang memuaskan,negatif
tekstur berat,negatif
bau menyengat,negatif
efek greasy,negatif
terlihat cakey,negatif
tidak nyaman di kulit,negatif
mudah luntur,negatif
tidak praktis,negatif
finish patchy,negatif
susah dibersihkan,negatif
cracky,negatif
bikin iritasi,negatif
bikin kulit kusam,negatif
terlalu mahal,negatif
sulit diblend,negatif
pigmentasi lemah,negatif
warnanya terlalu mencolok,negatif
cepat pudar,negatif
sulit dihapus,negatif
kemasan kurang kokoh,negatif
produk tidak konsisten,negatif
warna tahan lama,positif
tidak mudah pudar,positif
efek cerah,positif
tekstur lembut,positif
finishing glowing,positif
aman untuk kulit,positif
kulit terasa halus,positif
warna natural,positif
tidak mudah pecah,positif
harga ramah kantong,positif
memberikan hidrasi,positif
lembap sepanjang hari,positif
cocok untuk segala aktivitas,positif
tahan lama seharian,positif
memberikan efek lembut,positif
kemasan kokoh,positif
mudah dibawa ke mana saja,positif
warna sesuai ekspektasi,positif
memberikan rasa nyaman,positif
memenuhi kebutuhan kulit,positif
kualitas luar biasa,positif
memberikan hasil akhir matte,positif
tidak lengket di kulit,positif
memberikan efek sehat,positif
sangat praktis,positif
cocok untuk kulit kering,positif
sangat blendable,positif
wangi menyenangkan,positif
kulit terasa lebih cerah,positif
memberikan perlindungan kulit,positif
memberikan kelembapan ekstra,positif
menutrisi kulit,positif
efek segar,positif
mengontrol minyak,positif
menghidrasi kulit,positif
tekstur lengket,negatif
tidak nyaman saat dipakai,negatif
warna mudah hilang,negatif
efek terlalu tebal,negatif
kemasan terlalu besar,negatif
terlalu berminyak,negatif
kurang sesuai deskripsi,negatif
bau terlalu menyengat,negatif
warna tidak sesuai ekspektasi,negatif
kemasan kurang menarik,negatif
warna mudah pudar,negatif
kemasan rapuh,negatif
terlalu powdery,negatif
terlalu mahal untuk kualitasnya,negatif
efek terlalu glossy,negatif
tidak cocok untuk kulit berminyak,negatif
bikin kulit terasa kering,negatif
tidak sesuai dengan harga,negatif
tekstur terlalu kental,negatif
bikin iritasi kulit,negatif
transfer ke pakaian,negatif
kemasan sulit dibuka,negatif
produk kurang inovatif,negatif
warna terlalu mencolok,negatif
tekstur terlalu tipis,negatif
susah diaplikasikan,negatif
bikin kulit terasa berat,negatif
terlalu cepat habis,negatif
tidak memberikan efek glowing,negatif
tekstur tidak rata,negatif
terlalu drying,negatif
hasil akhir patchy,negatif
tidak ramah di kulit sensitif,negatif
produk mudah rusak,negatif
sulit dibersihkan,negatif
